Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:40:44:351,Quaker Bot Long Strafes,LG,6.21s,136,50,0.368,300,816,0.368,false
2,15:40:55:134,Quaker Bot Long Strafes,LG,10.509s,194,50,0.258,300,1164,0.258,false
3,15:41:04:169,Quaker Bot Long Strafes,LG,8.759s,154,50,0.325,300,924,0.325,false
4,15:41:12:110,Quaker Bot Long Strafes,LG,7.668s,132,50,0.379,300,792,0.379,false
5,15:41:24:862,Quaker Bot Long Strafes,LG,12.476s,235,50,0.213,300,1410,0.213,false
6,15:41:33:536,Quaker Bot Long Strafes,LG,8.4s,148,50,0.338,300,888,0.338,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1036,308,1848.0,6216.0,

Kills:,6
Deaths:,0
Fight Time:,54.021999
Avg TTK:,9.004
Damage Done:,1848.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1648.216187
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
