Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:01:03:035,Quaker Bot Long Strafes,LG,7.585s,166,50,0.301,300,996,0.301,false
2,08:01:12:285,Quaker Bot Long Strafes,LG,8.976s,162,50,0.309,300,972,0.309,false
3,08:01:19:952,Quaker Bot Long Strafes,LG,7.393s,126,50,0.397,300,756,0.397,false
4,08:01:29:103,Quaker Bot Long Strafes,LG,8.867s,159,50,0.314,300,954,0.314,false
5,08:01:40:670,Quaker Bot Long Strafes,LG,11.293s,212,50,0.236,300,1272,0.236,false
6,08:01:50:180,Quaker Bot Long Strafes,LG,9.234s,170,50,0.294,300,1020,0.294,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1054,314,1884.0,6324.0,

Kills:,6
Deaths:,0
Fight Time:,53.348
Avg TTK:,8.891
Damage Done:,1884.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1683.802734
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
