Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:08:22:031,Quaker Bot Long Strafes,LG,9.102s,199,50,0.251,300,1194,0.251,false
2,19:08:31:516,Quaker Bot Long Strafes,LG,9.209s,165,50,0.303,300,990,0.303,false
3,19:08:41:883,Quaker Bot Long Strafes,LG,10.092s,186,50,0.269,300,1116,0.269,false
4,19:08:53:617,Quaker Bot Long Strafes,LG,11.459s,218,50,0.229,300,1308,0.229,false
5,19:09:08:618,Quaker Bot Long Strafes,LG,14.726s,288,50,0.174,300,1728,0.174,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1095,259,1554.0,6570.0,

Kills:,5
Deaths:,0
Fight Time:,54.588001
Avg TTK:,10.918
Damage Done:,1554.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,493.52179
Score:,1102.701416
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
