Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:55:19:386,Quaker Bot Long Strafes,LG,9.92s,217,50,0.23,300,1302,0.23,false
2,07:55:27:795,Quaker Bot Long Strafes,LG,8.135s,142,50,0.352,300,852,0.352,false
3,07:55:34:987,Quaker Bot Long Strafes,LG,6.917s,120,50,0.417,300,720,0.417,false
4,07:55:45:637,Quaker Bot Long Strafes,LG,10.376s,193,50,0.259,300,1158,0.259,false
5,07:55:54:404,Quaker Bot Long Strafes,LG,8.492s,151,50,0.331,300,906,0.331,false
6,07:56:03:755,Quaker Bot Long Strafes,LG,9.068s,165,50,0.303,300,990,0.303,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1048,318,1908.0,6288.0,

Kills:,6
Deaths:,0
Fight Time:,52.908001
Avg TTK:,8.818
Damage Done:,1908.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1736.862549
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
