Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:31:19:107,Long Strafe Bot,ADSable Hitscan Cone,5.2s,2870,545,0.19,501,2610,0.192,false
2,17:31:22:873,Long Strafe Bot,ADSable Hitscan Cone,3.511s,1539,550,0.357,505,1400,0.361,false
3,17:31:27:099,Long Strafe Bot,ADSable Hitscan Cone,3.963s,2078,542,0.261,502,1890,0.266,false
4,17:31:31:784,Long Strafe Bot,ADSable Hitscan Cone,4.436s,2243,512,0.228,503,2040,0.247,false
5,17:31:35:924,Long Strafe Bot,ADSable Hitscan Cone,3.878s,1968,541,0.275,500,1790,0.279,false
6,17:31:40:356,Long Strafe Bot,ADSable Hitscan Cone,4.167s,1968,552,0.28,506,1790,0.283,false
7,17:31:46:937,Long Strafe Bot,ADSable Hitscan Cone,6.331s,3112,722,0.232,703,2830,0.248,false
8,17:31:50:049,Long Strafe Bot,ADSable Hitscan Cone,2.849s,1484,301,0.203,301,1350,0.223,false
9,17:31:55:298,Long Strafe Bot,ADSable Hitscan Cone,4.997s,2188,553,0.253,505,1990,0.254,false
10,17:32:00:123,Long Strafe Bot,ADSable Hitscan Cone,4.568s,2375,544,0.229,507,2160,0.235,false
11,17:32:03:835,Long Strafe Bot,ADSable Hitscan Cone,3.452s,1550,545,0.352,503,1410,0.357,false
12,17:32:09:768,Long Strafe Bot,ADSable Hitscan Cone,5.673s,2716,554,0.204,509,2470,0.206,false
13,17:32:14:543,Long Strafe Bot,ADSable Hitscan Cone,4.51s,2287,503,0.22,503,2080,0.242,false
14,17:32:18:204,Long Strafe Bot,ADSable Hitscan Cone,3.394s,1242,533,0.429,500,1130,0.442,false
15,17:32:22:404,Long Strafe Bot,ADSable Hitscan Cone,3.947s,2012,619,0.308,573,1830,0.313,false
16,17:32:25:699,Long Strafe Bot,ADSable Hitscan Cone,3.032s,1528,484,0.317,440,1390,0.317,false
17,17:32:31:374,Long Strafe Bot,ADSable Hitscan Cone,5.415s,2782,508,0.183,508,2530,0.201,false
18,17:32:36:953,Long Strafe Bot,ADSable Hitscan Cone,5.324s,2628,552,0.21,503,2390,0.21,false
19,17:32:41:708,Long Strafe Bot,ADSable Hitscan Cone,4.495s,1770,550,0.311,507,1610,0.315,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,40494,10244,9612.0,36830.0,

Kills:,19
Deaths:,0
Fight Time:,83.141998
Avg TTK:,4.376
Damage Done:,9612.0
Damage Taken:,0.0
Midairs:,209
Midaired:,0
Directs:,632
Directed:,0
Distance Traveled:,0.0
Score:,2508.567627
Scenario:,Ascended Tracking v3
Hash:,46026d159b844451a38af3608d7c9e8a
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
