Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:18:58:965,Quaker Bot Long Strafes,LG,7.541s,165,50,0.303,300,990,0.303,false
2,16:19:11:424,Quaker Bot Long Strafes,LG,12.185s,230,50,0.217,300,1380,0.217,false
3,16:19:20:074,Quaker Bot Long Strafes,LG,8.367s,146,50,0.342,300,876,0.342,false
4,16:19:28:050,Quaker Bot Long Strafes,LG,7.701s,133,50,0.376,300,798,0.376,false
5,16:19:36:487,Quaker Bot Long Strafes,LG,8.163s,143,50,0.35,300,858,0.35,false
6,16:19:46:340,Quaker Bot Long Strafes,LG,9.579s,174,50,0.287,300,1044,0.287,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1041,313,1878.0,6246.0,

Kills:,6
Deaths:,0
Fight Time:,53.535999
Avg TTK:,8.923
Damage Done:,1878.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1693.988525
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
