Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:22:42:180,Quaker Bot Long Strafes,LG,9.751s,213,50,0.235,300,1278,0.235,false
2,15:22:53:195,Quaker Bot Long Strafes,LG,10.739s,197,50,0.254,300,1182,0.254,false
3,15:23:06:186,Quaker Bot Long Strafes,LG,12.717s,244,50,0.205,300,1464,0.205,false
4,15:23:15:979,Quaker Bot Long Strafes,LG,9.518s,172,50,0.291,300,1032,0.291,false
5,15:23:24:229,Quaker Bot Long Strafes,LG,7.976s,137,50,0.365,300,822,0.365,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1081,283,1698.0,6486.0,

Kills:,5
Deaths:,0
Fight Time:,50.701
Avg TTK:,10.14
Damage Done:,1698.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1333.581787
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
