Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:02:07:532,Quaker Bot Long Strafes,LG,6.993s,153,50,0.327,300,918,0.327,false
2,08:02:16:757,Quaker Bot Long Strafes,LG,8.951s,159,50,0.314,300,954,0.314,false
3,08:02:25:858,Quaker Bot Long Strafes,LG,8.827s,162,50,0.309,300,972,0.309,false
4,08:02:34:933,Quaker Bot Long Strafes,LG,8.801s,156,50,0.321,300,936,0.321,false
5,08:02:43:275,Quaker Bot Long Strafes,LG,8.068s,144,50,0.347,300,864,0.347,false
6,08:02:53:009,Quaker Bot Long Strafes,LG,9.459s,175,50,0.286,300,1050,0.286,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1052,335,2010.0,6312.0,

Kills:,6
Deaths:,0
Fight Time:,51.098999
Avg TTK:,8.516
Damage Done:,2010.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1920.199585
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
