Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:17:49:975,Quaker Bot Long Strafes,LG,8.458s,185,50,0.27,300,1110,0.27,false
2,16:18:00:735,Quaker Bot Long Strafes,LG,10.485s,195,50,0.256,300,1170,0.256,false
3,16:18:10:926,Quaker Bot Long Strafes,LG,9.917s,179,50,0.279,300,1074,0.279,false
4,16:18:19:836,Quaker Bot Long Strafes,LG,8.627s,154,50,0.325,300,924,0.325,false
5,16:18:29:369,Quaker Bot Long Strafes,LG,9.25s,168,50,0.298,300,1008,0.298,false
6,16:18:38:053,Quaker Bot Long Strafes,LG,8.409s,148,50,0.338,300,888,0.338,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1046,304,1824.0,6276.0,

Kills:,6
Deaths:,0
Fight Time:,55.146
Avg TTK:,9.191
Damage Done:,1824.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1590.332642
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
