Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:34:15:992,Quaker Bot Long Strafes,LG,5.883s,129,50,0.388,300,774,0.388,false
2,15:34:24:895,Quaker Bot Long Strafes,LG,6.801s,149,50,0.336,300,894,0.336,false
3,15:34:32:545,Quaker Bot Long Strafes,LG,7.367s,127,50,0.394,300,762,0.394,false
4,15:34:42:096,Quaker Bot Long Strafes,LG,9.276s,164,50,0.305,300,984,0.305,false
5,15:34:52:880,Quaker Bot Long Strafes,LG,10.509s,195,50,0.256,300,1170,0.256,false
6,15:35:05:514,Quaker Bot Long Strafes,LG,12.36s,235,50,0.213,300,1410,0.213,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1036,312,1872.0,6216.0,

Kills:,6
Deaths:,0
Fight Time:,52.195999
Avg TTK:,8.699
Damage Done:,1872.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1691.305054
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
