Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:31:17:475,Quaker Bot Long Strafes,LG,9.933s,217,50,0.23,300,1302,0.23,false
2,15:31:26:368,Quaker Bot Long Strafes,LG,8.618s,155,50,0.323,300,930,0.323,false
3,15:31:35:210,Quaker Bot Long Strafes,LG,8.568s,151,50,0.331,300,906,0.331,false
4,15:31:44:878,Quaker Bot Long Strafes,LG,9.392s,172,50,0.291,300,1032,0.291,false
5,15:31:55:967,Quaker Bot Long Strafes,LG,10.815s,203,50,0.246,300,1218,0.246,false
6,15:32:03:929,Quaker Bot Long Strafes,LG,7.687s,133,50,0.376,300,798,0.376,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1051,304,1824.0,6306.0,

Kills:,6
Deaths:,0
Fight Time:,55.013
Avg TTK:,9.169
Damage Done:,1824.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1582.766968
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
