Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:16:18:414,Quaker Bot Long Strafes,LG,8.4s,184,50,0.272,300,1104,0.272,false
2,16:16:29:781,Quaker Bot Long Strafes,LG,11.092s,207,50,0.242,300,1242,0.242,false
3,16:16:40:369,Quaker Bot Long Strafes,LG,10.313s,190,50,0.263,300,1140,0.263,false
4,16:16:50:821,Quaker Bot Long Strafes,LG,10.177s,183,50,0.273,300,1098,0.273,false
5,16:17:02:070,Quaker Bot Long Strafes,LG,10.967s,205,50,0.244,300,1230,0.244,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1086,274,1644.0,6516.0,

Kills:,5
Deaths:,0
Fight Time:,50.949001
Avg TTK:,10.19
Damage Done:,1644.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1244.353516
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
