Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:36:27:289,Quaker Bot Long Strafes,LG,6.851s,150,50,0.333,300,900,0.333,false
2,15:36:34:980,Quaker Bot Long Strafes,LG,7.417s,125,50,0.4,300,750,0.4,false
3,15:36:44:132,Quaker Bot Long Strafes,LG,8.868s,156,50,0.321,300,936,0.321,false
4,15:36:51:490,Quaker Bot Long Strafes,LG,7.084s,120,50,0.417,300,720,0.417,false
5,15:37:02:499,Quaker Bot Long Strafes,LG,10.735s,199,50,0.251,300,1194,0.251,false
6,15:37:11:441,Quaker Bot Long Strafes,LG,8.659s,151,50,0.331,300,906,0.331,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1036,338,2028.0,6216.0,

Kills:,6
Deaths:,0
Fight Time:,49.613998
Avg TTK:,8.269
Damage Done:,2028.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1984.934326
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
