Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:58:50:507,Quaker Bot Long Strafes,LG,9.333s,204,50,0.245,300,1224,0.245,false
2,07:59:00:300,Quaker Bot Long Strafes,LG,9.517s,173,50,0.289,300,1038,0.289,false
3,07:59:10:717,Quaker Bot Long Strafes,LG,10.142s,187,50,0.267,300,1122,0.267,false
4,07:59:20:026,Quaker Bot Long Strafes,LG,9.035s,163,50,0.307,300,978,0.307,false
5,07:59:29:777,Quaker Bot Long Strafes,LG,9.477s,173,50,0.289,300,1038,0.289,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1088,300,1800.0,6528.0,

Kills:,6
Deaths:,0
Fight Time:,57.620998
Avg TTK:,9.603
Damage Done:,1800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1488.970581
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
