Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:23:52:435,Quaker Bot Long Strafes,LG,7.537s,165,50,0.303,300,990,0.303,false
2,15:24:02:305,Quaker Bot Long Strafes,LG,9.595s,177,50,0.282,300,1062,0.282,false
3,15:24:13:183,Quaker Bot Long Strafes,LG,10.595s,195,50,0.256,300,1170,0.256,false
4,15:24:22:785,Quaker Bot Long Strafes,LG,9.328s,172,50,0.291,300,1032,0.291,false
5,15:24:32:195,Quaker Bot Long Strafes,LG,9.134s,165,50,0.303,300,990,0.303,false
6,15:24:43:048,Quaker Bot Long Strafes,LG,10.578s,196,50,0.255,300,1176,0.255,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1073,300,1800.0,6438.0,

Kills:,6
Deaths:,0
Fight Time:,56.766998
Avg TTK:,9.461
Damage Done:,1800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,102.098
Score:,1509.785522
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
