Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:59:57:097,Quaker Bot Long Strafes,LG,8.508s,186,50,0.269,300,1116,0.269,false
2,08:00:07:148,Quaker Bot Long Strafes,LG,9.776s,182,50,0.275,300,1092,0.275,false
3,08:00:17:173,Quaker Bot Long Strafes,LG,9.75s,178,50,0.281,300,1068,0.281,false
4,08:00:26:791,Quaker Bot Long Strafes,LG,9.334s,172,50,0.291,300,1032,0.291,false
5,08:00:39:667,Quaker Bot Long Strafes,LG,12.601s,237,50,0.211,300,1422,0.211,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1091,292,1752.0,6546.0,

Kills:,5
Deaths:,0
Fight Time:,49.969002
Avg TTK:,9.994
Damage Done:,1752.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1406.738892
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
