Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:24:10:072,Quaker Bot Long Strafes,LG,9.101s,199,50,0.251,300,1194,0.251,false
2,23:24:20:073,Quaker Bot Long Strafes,LG,8.001s,175,50,0.286,300,1050,0.286,false
3,23:24:27:541,Quaker Bot Long Strafes,LG,7.193s,121,50,0.413,300,726,0.413,false
4,23:24:39:074,Quaker Bot Long Strafes,LG,11.259s,212,50,0.236,300,1272,0.236,false
5,23:24:47:858,Quaker Bot Long Strafes,LG,8.51s,151,50,0.331,300,906,0.331,false
6,23:24:55:825,Quaker Bot Long Strafes,LG,7.684s,135,50,0.37,300,810,0.37,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1043,312,1872.0,6258.0,

Kills:,6
Deaths:,0
Fight Time:,51.748001
Avg TTK:,8.625
Damage Done:,1872.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1679.954102
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
